PLATFORM_NUMBER,CYCLE_NUMBER,time,JULD_LOCATION,latitude,longitude,PRES,TEMP,PSAL,TEMP_QC,PSAL_QC
,,UTC,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU,,
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,437.8,10.551,35.031,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,463.1,10.333,35.029,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,488.1,10.126,35.028,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,512.7,9.929,35.027,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,537.8,9.725,35.023,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,563.1,9.526,35.018,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,587.9,9.33,35.015,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,612.8,9.133,35.01,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,637.9,8.909,35.004,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,662.7,8.735,34.999,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,687.6,8.559,34.995,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,713.0,8.429,34.99,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,738.0,8.286,34.987,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,763.0,8.087,34.982,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,788.1,7.924,34.976,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,813.1,7.784,34.971,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,837.9,7.582,34.965,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,863.1,7.414,34.959,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,888.3,7.245,34.954,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,912.9,7.089,34.948,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,937.8,6.885,34.941,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,963.1,6.736,34.935,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,988.1,6.609,34.931,1,1
1902669,48,2025-01-01T14:22:19Z,2025-01-01T14:22:19Z,13.683333333333334,87.06666666666666,1013.7,6.451,34.925,1,1
